epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
91,137.229,1.01699,0.76681,0.88843,0.61122,0.67488,0.66665,0.43316,1.10151,0.77851,0.90553,0.000121099,0.000121099,0.000121099
92,138.525,1.01095,0.75746,0.90506,0.63601,0.6771,0.66844,0.44081,1.07863,0.77082,0.90218,0.0001101,0.0001101,0.0001101
93,139.78,0.99833,0.7701,0.88657,0.65286,0.66036,0.67552,0.44073,1.10104,0.77421,0.90476,9.91012e-05,9.91012e-05,9.91012e-05
94,141.053,1.0176,0.75631,0.89699,0.71211,0.63405,0.68633,0.44422,1.16255,0.7831,0.91249,8.81023e-05,8.81023e-05,8.81023e-05
95,142.298,0.98928,0.73593,0.89369,0.71218,0.63393,0.68713,0.44872,1.1734,0.78188,0.91411,7.71034e-05,7.71034e-05,7.71034e-05
96,143.552,0.99126,0.7637,0.89168,0.69936,0.64744,0.69185,0.4574,1.12871,0.77392,0.90822,6.61045e-05,6.61045e-05,6.61045e-05
97,144.778,0.98452,0.76061,0.88866,0.71507,0.64531,0.68953,0.45587,1.12295,0.77266,0.90758,5.51056e-05,5.51056e-05,5.51056e-05
98,146.012,0.97584,0.74656,0.88627,0.72223,0.64405,0.69616,0.46636,1.10624,0.76735,0.90491,4.41067e-05,4.41067e-05,4.41067e-05
99,147.273,0.98217,0.75111,0.87952,0.7412,0.6214,0.69618,0.46054,1.08748,0.75976,0.90251,3.31078e-05,3.31078e-05,3.31078e-05
100,148.599,0.97742,0.75127,0.89154,0.7391,0.63433,0.69731,0.46338,1.08798,0.75918,0.90218,2.21089e-05,2.21089e-05,2.21089e-05
